Days,Relative_Distances
1,1.140087518
1,2.527908727
1,1.690220632
1,3.354340316
1,2.136789606
1,4.519211545
1,1.841599263
1,1.637465058
1,1.152900248
1,1.122890271
1,2.283638565
1,1.139116333
1,1.543916025
1,8.898316138
1,4.604609529
1,1.19136057
1,1.783040104
1,1.482017996
1,1.222827428
2,2.163053485
2,1
2,3.389769142
2,1.813358423
2,1.012310585
2,1
2,2.946959195
2,1
2,1
2,1
2,2.902049297
2,1.743032597
2,3.009423446
2,1.945727396
2,3.306631043
2,1
2,1
2,2
2,1
3,1
3,6.005396159
3,1.149329414
3,1.135228535
3,1.324306104
3,1
3,1.226643217
3,1.507995235
3,2.455799329
3,1
3,1.458675321
3,1.080533852
3,1.021721103
3,1
3,2.424905318
3,1.329096638
3,3.146209567
3,1.070839425
3,1.081527486
4,1.118337876
4,1
4,1.333459984
4,3.431591716
4,1.189305461
4,1.123701551
4,1.670007501
4,1
4,1.90047288
4,1.719059531
4,1.154121042
4,1.606689259
4,1.207685758
4,3.232178839
4,1.473497454
4,1.138511121
4,1.128244092
4,1.237211875
4,1.03536056
5,1.057555113
5,1
5,3.244580228
5,1.061099499
5,1.994694265
5,1.018507245
5,2.701379262
5,1.942913925
5,1.581696131
5,1.149303716
5,1.908226265
5,1
5,1.181841575
5,1.163743936
5,1
5,1.267082172
5,1
5,1.132288878
5,1.002344416
