latitude,longitude,lat (rad),long (rad),name,groupuni,found,shortest distance,actual distance,relative distance
52.360679,4.951471,0.913866247,0.086419472,T061,1,1,,0,
52.360735,4.951497,0.913867225,0.086419926,T145,3a,2,6.472331866,14,2.163053485
52.361297,4.951345,0.913877033,0.086417273,T152,4b,3,63.33828093,40,0.631529612
52.361293,4.951167,0.913876964,0.086414166,T154,3a,4,12.09521896,41,3.389769142
52.361316,4.951009,0.913877365,0.086411408,T040,3a,5,11.02925916,20,1.813358423
52.36152,4.95099,0.913880925,0.086411077,T038,4b,6,22.72029982,23,1.012310585
52.361648,4.949988,0.913883159,0.086393589,T156,1,7,69.51260797,66,0.949468045
52.361714,4.949936,0.913884311,0.086392681,T030,1,8,8.143987891,24,2.946959195
52.361961,4.949394,0.913888622,0.086383221,T021,2b,9,45.92239295,17,0.370189768
52.361766,4.948806,0.913885219,0.086372959,T018,1,10,45.43504576,27,0.594254931
52.359448,4.94936,0.913844762,0.086382628,T207,4b,11,260.4807296,61,0.234182391
52.360758,4.950999,0.913867626,0.086411234,T047,4b,12,183.318733,532,2.902049297
52.359477,4.950839,0.913845268,0.086408441,T084,3a,13,142.8544712,249,1.743032597
52.358883,4.949587,0.913834901,0.08638659,T089,1,14,107.6618182,324,3.009423446
52.35841,4.950218,0.913826646,0.086397603,T112,1,15,67.84095257,132,1.945727396
52.358369,4.951124,0.91382593,0.086413415,T119,3a,16,61.69421305,204,3.306631043
52.358651,4.952512,0.913830852,0.086437641,T136,4b,17,99.33635096,82,0.825478279
52.359792,4.952399,0.913850766,0.086435668,T138,2b,18,127.1052113,68,0.534989866
52.359825,4.952364,0.913851342,0.086435058,T140,1,19,4.371149379,169,38.6626
52.361134,4.949014,0.913874188,0.086376589,T026,4b,20,270.0651438,15,0.055542155
