latitude,longitude,lat_rad,long_rad,name,groupclust,found,shortest_distance,actual distance,relative_distance
52.359248,4.952667,0.913841272,0.086440346,T076,4d,1,,0,
52.359268,4.952588,0.913841621,0.086438967,T075,1,2,5.807371506,11,1.894144363
52.359361,4.952553,0.913843244,0.086438356,T074,4d,3,10.61069193,14,1.31942385
52.359501,4.952678,0.913845687,0.086440538,T073,2b,4,17.73131139,19,1.071550749
52.359825,4.952364,0.913851342,0.086435058,T140,1,5,41.86420598,63,1.504865518
52.359792,4.952399,0.913850766,0.086435668,T138,2b,6,4.371149379,13,2.974046154
52.359783,4.952448,0.913850609,0.086436524,T139,3b,7,3.475202508,6,1.726518091
52.361613,4.950132,0.913882549,0.086396102,T155,2b,8,257.1777422,389,1.512572576
52.361648,4.949988,0.913883159,0.086393589,T156,1,9,10.52369661,14,1.330331016
52.361714,4.949936,0.913884311,0.086392681,T030,1,10,8.143987891,7,0.859529765
52.36174696,4.949770823,0.913884887,0.086389798,T031,2b,11,11.79950662,18,1.525487513
52.361961,4.949394,0.913888622,0.086383221,T021,2b,12,34.94547557,44,1.259104341
52.36208221,4.948902253,0.913890738,0.086374639,Nieuwe boom,,13,36.00877205,32,0.888672348
52.361766,4.948806,0.913885219,0.086372959,T018,1,14,35.76327467,39,1.090504166
52.361731,4.948731,0.913884608,0.08637165,T163,3b,15,6.409363137,9,1.404195676
52.361111,4.94833,0.913873787,0.086364651,T012,1,16,74.12349632,81,1.092770903
52.361064,4.948203,0.913872967,0.086362434,T171,4d,17,10.08371971,9,0.892527783
52.36038,4.94818,0.913861029,0.086362033,T174,4d,18,76.07339051,79,1.03847087
52.360219,4.947998,0.913858219,0.086358856,T176,3b,19,21.75406672,18,0.827431498
52.360113,4.947982,0.913856369,0.086358577,T178,3b,20,11.83649396,13,1.098298199
