latitude,longitude,lat_radians,long_radians,name,groupuni,found,shortest_distance,Actual_distance,actual distance_cumulative,relative_distance
52.35848,4.952014,0.913827867,0.086428949,T126,4c,1,,,,
52.358772,4.952522,0.913832964,0.086437815,T133,3b,2,47.37423567,42,89,0.886557839
52.35881,4.952493,0.913833627,0.086437309,T132,4c,3,4.662473425,28,117,6.005396159
52.359268,4.952588,0.913841621,0.086438967,T075,1,4,51.33428177,59,176,1.149329414
52.360812,4.951506,0.913868568,0.086420083,T148,4c,5,186.7465391,212,388,1.135228535
52.360782,4.951335,0.913868045,0.086417098,T056,3b,6,12.08179888,16,404,1.324306104
52.361077,4.951539,0.913873194,0.086420659,T149,3b,7,35.60769798,22,426,0.617843928
52.361542,4.950316,0.913881309,0.086399313,T034,4c,8,97.82795711,120,546,1.226643217
52.361648,4.949988,0.913883159,0.086393589,T156,1,9,25.19901862,38,584,1.507995235
52.361714,4.949936,0.913884311,0.086392681,T030,1,10,8.143987891,20,604,2.455799329
52.361809,4.949641,0.913885969,0.086387532,T022,2a,11,22.64639696,21,625,0.927299828
52.361766,4.948806,0.913885219,0.086372959,T018,1,12,56.90094213,83,708,1.458675321
52.3610525,4.948158817,0.913872766,0.086361663,T012,1,13,90.69590912,98,806,1.080533852
52.359884,4.947896,0.913852372,0.086357076,T181,2a,14,131.1512501,134,940,1.021721103
52.359597,4.948084,0.913847363,0.086360357,T183,2a,15,34.37182251,34,974,0.989182345
52.359962,4.950906,0.913853733,0.086409611,T051,4c,16,195.8839368,475,1449,2.424905318
52.358883,4.949587,0.913834901,0.08638659,T089,1,17,149.7257568,199,1648,1.329096638
52.358563,4.949287,0.913829316,0.086381354,T105,2a,18,41.00171881,129,1777,3.146209567
52.35849,4.949219,0.913828042,0.086380167,T104,2a,19,9.338468273,10,1787,1.070839425
52.35841,4.950218,0.913826646,0.086397603,T112,1,20,68.42174698,74,1861,1.081527486
