type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),color,name,desc,found,
T,13:47:19,52.35844178,4.950283868,-5,1.2,50.13,294.3,0.914,3.66,,,,1,
T,13:49:43,52.35857656,4.949703505,-4.3,0.8,72.33,279.9,0.964,1.84,,,,2,50
T,13:49:54,52.35861814,4.949678527,-4.2,1.6,37.19,339.9,0.969,4.93,,,,3,5
T,13:52:26,52.35846533,4.949135883,-3.6,2.4,25.12,244.7,1.014,5.97,,,,4,45
T,13:53:34,52.35855728,4.948541857,-3.4,0.8,78.09,342.5,1.057,2.35,,,,5,43
T,13:59:11,52.36003359,4.948078003,-2.2,0.3,225.14,316.8,1.369,0.67,,,,6,312
T,14:00:40,52.36027071,4.948050007,-2.5,0.8,79.34,351.5,1.402,2.31,,,,7,33
T,14:01:34,52.36055293,4.948074231,-1.2,1.1,53.14,15.1,1.434,3.45,,,,8,32
T,14:03:37,52.36108979,4.948220663,-1.6,1,61.32,21.5,1.496,2.72,,,,9,62
T,14:04:02,52.36112617,4.948195014,-1.5,0.8,79.7,26.8,1.502,1.88,,,,10,6
T,14:04:45,52.36111561,4.948299034,-1.9,1,60.87,91.7,1.511,4.11,,,,11,9
T,14:05:09,52.36111569,4.948250251,-1.3,0.9,69.95,228.2,1.517,3.34,,,,12,6
T,14:08:18,52.36193905,4.94930042,-1.8,2.2,27.12,105.2,1.66,6.15,,,,13,143
T,14:09:11,52.36182748,4.949457999,-2.3,0.9,64.23,108.9,1.682,2.34,,,,14,22
T,14:09:47,52.36179161,4.949633768,-1.8,1.1,55.17,205.3,1.699,3.32,,,,15,17
T,14:10:32,52.36171215,4.949828898,-1.5,1.3,44.75,219.7,1.72,3.72,,,,16,21
T,14:11:33,52.36164099,4.950035596,-1.8,2.3,26.29,111.8,1.743,6.34,,,,17,23
T,14:12:26,52.36162473,4.950059736,-2.7,0.4,145.4,120.4,1.75,1.72,,,,18,7
T,14:20:03,52.36067321,4.95138701,0.3,0.6,103.47,184.3,2.045,1.45,,,,19,295
T,14:21:53,52.35987165,4.952112297,0,0.3,234.4,143.4,2.15,0.64,,,,20,105
T,13:43:55,52.35810525,4.952351851,-5.5,4.7,12.72,274.1,0.741,18.34,Blue,Tuesday Afternoon A,,,
T,13:44:06,52.35812578,4.95216703,-4.9,4.2,14.33,280.3,0.754,12.8,,,,,
T,13:44:07,52.35813232,4.952157056,-4.7,3.6,16.74,317,0.755,1,,,,,
T,13:44:18,52.35824833,4.952117158,-5.1,4.3,13.9,348.1,0.768,13.19,,,,,
T,13:44:28,52.3583127,4.952075081,-5.1,2.8,21.6,338.2,0.776,7.72,,,,,
T,13:44:36,52.35835872,4.951974833,-5.1,3.8,15.62,306.9,0.784,8.54,,,,,
T,13:44:46,52.35841529,4.951828988,-5.4,4.2,14.17,302.4,0.796,11.76,,,,,
T,13:44:57,52.35845972,4.951816918,-5.3,1.6,36.58,350.6,0.801,5.01,,,,,
T,13:45:04,52.35845276,4.951766795,-5.5,1.8,33.32,257.2,0.805,3.5,,,,,
T,13:45:14,52.35842267,4.951694543,-5.6,2.1,28,235.7,0.81,5.95,,,,,
T,13:45:23,52.3584194,4.951540902,-5.4,4.2,14.32,268,0.821,10.47,,,,,
T,13:45:32,52.35840423,4.95139732,-5.6,4,15.11,260.2,0.831,9.93,,,,,
T,13:45:34,52.3583992,4.951364296,-5.6,4.2,14.38,256,0.833,2.32,,,,,
T,13:45:43,52.35840783,4.951214762,-4.6,4.1,14.66,275.4,0.843,10.23,,,,,
T,13:45:52,52.35839979,4.951067828,-5.5,4,14.92,264.9,0.853,10.05,,,,,
T,13:46:02,52.35839157,4.950922569,-4.7,3.6,16.77,264.7,0.863,9.94,,,,,
T,13:46:12,52.35837841,4.950730288,-4.6,4.7,12.64,263.6,0.877,13.18,,,,,
T,13:46:24,52.35837934,4.950503223,-4.1,4.6,12.93,270.4,0.892,15.47,,,,,
T,13:46:34,52.35839585,4.950341284,-4.2,4,14.9,279.5,0.903,11.18,,,,,
T,13:46:42,52.35840649,4.950293424,-4.7,1.6,38.43,290,0.907,3.47,,,,,
T,13:46:54,52.35842669,4.950324437,-4.7,0.9,64.83,43.2,0.91,3.08,,,,,
T,13:47:08,52.35842829,4.950332819,-4.4,0.2,390.24,72.7,0.91,0.6,,,,,
T,13:47:29,52.35843784,4.950278923,-4.7,0.2,301.45,217.5,0.915,0.55,,,,,
T,13:47:39,52.3584588,4.950212706,-4.7,1.8,32.82,297.4,0.92,5.08,,,,,
T,13:47:41,52.35846642,4.950182196,-4.8,4,14.85,292.3,0.922,2.25,,,,,
T,13:47:50,52.35850498,4.95008111,-4.4,3.2,18.49,302,0.93,8.11,,,,,
T,13:47:58,52.35851068,4.950065101,-5.1,0.6,105.68,300.2,0.931,1.26,,,,,
T,13:48:09,52.35853616,4.950024448,-4.9,1.3,46.25,315.7,0.935,3.96,,,,,
T,13:48:24,52.35853918,4.950021347,-4.9,0.1,630.18,327.9,0.936,0.4,,,,,
T,13:48:36,52.3585629,4.950033752,-5.3,0.8,72.16,17.7,0.938,2.77,,,,,
T,13:48:51,52.35856634,4.950034171,-5.1,0.1,651.96,4.3,0.939,0.38,,,,,
T,13:49:06,52.35855963,4.950043894,-4.5,0.2,250.56,138.5,0.94,1,,,,,
T,13:49:13,52.35857396,4.949965188,-4.4,2.9,20.85,286.6,0.945,5.59,,,,,
T,13:49:19,52.35858344,4.949882375,-4.1,3.4,17.42,280.6,0.951,5.74,,,,,
T,13:49:27,52.35859056,4.949799227,-4.3,2.6,23.31,278,0.957,5.72,,,,,
T,13:49:35,52.35857371,4.94973016,-4.8,2.3,26.32,248.2,0.962,5.07,,,,,
T,13:50:06,52.35860012,4.949635109,-3.8,1.1,55.97,235.8,0.972,3.57,,,,,
T,13:50:27,52.35859098,4.94961407,-4.2,0.3,199.18,234.6,0.974,1.76,,,,,
T,13:50:45,52.35858017,4.949612226,-4.1,0.2,247.99,185.9,0.975,1.21,,,,,
T,13:50:59,52.35856667,4.949607784,-4.2,0.4,152.32,191.4,0.977,1.53,,,,,
T,13:51:08,52.3585665,4.949586997,-4.1,0.6,105.91,269.2,0.978,1.42,,,,,
T,13:51:17,52.35854697,4.949515834,-3.9,2.1,28.23,245.8,0.984,5.31,,,,,
T,13:51:25,52.35853616,4.949476607,-3.1,1.3,45.49,245.7,0.986,2.93,,,,,
T,13:51:33,52.3585251,4.94945188,-4.1,0.9,63.9,233.8,0.989,2.09,,,,,
T,13:51:53,52.35854589,4.949437883,-3.8,0.5,133.23,337.6,0.991,2.5,,,,,
T,13:52:03,52.35853549,4.949395722,-3.4,1.1,53.83,248,0.994,3.1,,,,,
T,13:52:11,52.35850817,4.949306622,-3.7,3.1,19.64,243.3,1.001,6.79,,,,,
T,13:52:17,52.35848822,4.949215176,-3.8,4,15.12,250.3,1.008,6.61,,,,,
T,13:52:35,52.35846617,4.949076706,-3.6,1.6,37.2,271.3,1.018,4.03,,,,,
T,13:52:43,52.35846559,4.949034294,-3.6,1.3,46.13,268.7,1.02,2.89,,,,,
T,13:52:52,52.35847388,4.948984338,-3.7,1.4,42.54,285.2,1.024,3.53,,,,,
T,13:52:58,52.35848285,4.948888114,-3.3,4,15.08,278.7,1.031,6.63,,,,,
T,13:53:06,52.35850523,4.948770683,-3,3.8,15.91,287.3,1.039,8.38,,,,,
T,13:53:15,52.35853038,4.948649229,-3.1,3.5,17.17,288.7,1.048,8.73,,,,,
T,13:53:23,52.35853717,4.948552251,-3.5,3,20.05,276.5,1.054,6.65,,,,,
T,13:53:42,52.35857748,4.948516376,-2.8,1.3,46.95,322.4,1.06,2.84,,,,,
T,13:53:51,52.35861529,4.948431384,-3,2.9,20.96,306.1,1.067,7.16,,,,,
T,13:53:53,52.35863037,4.948421326,-2.7,3.3,18.38,337.8,1.069,1.81,,,,,
T,13:54:01,52.35867069,4.94841177,-2.9,2,29.41,351.8,1.073,4.53,,,,,
T,13:54:03,52.35865703,4.948384613,-2.8,4.3,13.92,230.5,1.075,2.39,,,,,
T,13:54:07,52.3586256,4.948332561,-2.5,4.5,13.38,225.3,1.08,4.98,,,,,
T,13:54:19,52.35853834,4.948208509,-2.1,3.9,15.54,221,1.093,12.87,,,,,
T,13:54:27,52.35850389,4.948097114,-2.9,3.8,15.68,243.1,1.102,8.5,,,,,
