type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),color,name,desc,found,distance
T,13/04/2021 09:06,52.36060884,4.951380305,16.6,3.5,17.28,346.4,1.207,3.86,,,,1,1207
T,13/04/2021 09:07,52.36061831,4.951395309,15.8,0.5,117.92,303.8,1.221,1.7,,,,2,14
T,13/04/2021 09:09,52.36090916,4.951454233,15.9,2.8,21.06,7,1.261,7.12,,,,3,40
T,13/04/2021 09:10,52.36126472,4.951393716,15.8,1,59.14,339.3,1.302,4.51,,,,4,41
T,13/04/2021 09:11,52.36129632,4.951161454,15.8,0.9,67.76,270.3,1.322,3.2,,,,5,20
T,13/04/2021 09:13,52.36138517,4.951081993,15.8,0.5,109.11,241.1,1.345,1.37,,,,6,23
T,13/04/2021 09:16,52.36148483,4.950322174,15.7,2.9,21.02,267.5,1.411,5.55,,,,7,66
T,13/04/2021 09:16,52.36160561,4.950094605,15.6,1.8,32.77,276.2,1.435,4.58,,,,8,24
T,13/04/2021 09:18,52.3616694,4.94993954,15.4,0.4,150.19,254.6,1.452,2.11,,,,9,17
T,13/04/2021 09:20,52.36174878,4.949706271,15.7,1.9,31.8,282.5,1.479,4.19,,,,10,27
T,13/04/2021 09:22,52.36198263,4.949008897,15.1,2.4,24.65,265.1,1.54,4.73,,,,11,61
T,13/04/2021 09:32,52.3592068,4.948936477,18.6,3.9,15.47,358.8,2.072,12.93,,,,12,532
T,13/04/2021 09:36,52.36077748,4.950893987,19.1,5.1,11.74,51.7,2.321,15.62,,,,13,249
T,13/04/2021 09:42,52.35980149,4.951311322,18.6,5.4,11.02,156.6,2.645,22.68,,,,14,324
T,13/04/2021 09:44,52.3590037,4.949991675,17.6,5.9,10.25,230.9,2.777,19.52,,,,15,132
T,13/04/2021 09:48,52.35862291,4.949768214,18.3,3.4,17.69,115.4,2.981,9.42,,,,16,204
T,13/04/2021 09:50,52.35860079,4.950941429,19.5,3.8,15.59,91.4,3.063,10.69,,,,17,82
T,13/04/2021 09:52,52.35861369,4.951882716,20.6,2.7,22.18,67.4,3.131,6.76,,,,18,68
T,13/04/2021 09:56,52.35962899,4.952467438,21.3,7.2,8.35,352.5,3.3,9.98,,,,19,169
T,13/04/2021 09:56,52.35976445,4.952477161,21.6,0.6,94.68,10.7,3.315,1.94,,,,20,15
T,"Tuesday, 13 April 2021",52.35809485,4.952400969,17.1,0.4,143.49,242.2,0.859,1.16,Blue,Tuesday Morning A,,,
T,13/04/2021 09:00,52.35809108,4.952401808,17.5,0.2,314.78,172.3,0.859,0.42,,,,,
T,13/04/2021 09:00,52.35809561,4.952376997,17.5,0.8,75.6,286.6,0.861,1.76,,,,,
T,13/04/2021 09:00,52.35820172,4.952185387,17.4,5.3,11.36,312.2,0.878,17.6,,,,,
T,13/04/2021 09:00,52.35831044,4.952148506,17.4,4.9,12.14,348.3,0.891,12.36,,,,,
T,13/04/2021 09:00,52.35833718,4.952104334,17,2.2,27.57,314.7,0.895,4.23,,,,,
T,13/04/2021 09:00,52.35836752,4.952023281,16.8,2.3,25.75,301.5,0.902,6.47,,,,,
T,13/04/2021 09:01,52.35836693,4.951994447,16.5,0.4,135.68,268.1,0.903,1.97,,,,,
T,13/04/2021 09:01,52.3584365,4.9519605,16.3,3.6,16.5,343.4,0.912,8.08,,,,,
T,13/04/2021 09:01,52.35845067,4.951954549,16.8,5.9,10.24,345.6,0.913,1.63,,,,,
T,13/04/2021 09:01,52.35853122,4.952018084,15.7,3.6,16.74,25.7,0.923,9.95,,,,,
T,13/04/2021 09:01,52.35858947,4.952090085,16.4,2.9,20.5,37,0.931,8.13,,,,,
T,13/04/2021 09:01,52.35866591,4.952164935,16,2.7,21.85,30.9,0.941,9.92,,,,,
T,13/04/2021 09:01,52.35871738,4.952207012,15.7,3.8,15.61,26.5,0.948,6.4,,,,,
T,13/04/2021 09:02,52.35880757,4.952259902,15.9,5.5,10.94,19.7,0.958,10.66,,,,,
T,13/04/2021 09:02,52.3589369,4.952336093,16.1,5.5,10.89,19.8,0.974,15.3,,,,,
T,13/04/2021 09:02,52.35905232,4.952407088,16.3,4.9,12.14,20.6,0.987,13.72,,,,,
T,13/04/2021 09:02,52.35912725,4.952493086,16.7,4.1,14.72,35,0.997,10.19,,,,,
T,13/04/2021 09:02,52.35917344,4.952569697,16.5,2.6,22.75,45.4,1.005,7.32,,,,,
T,13/04/2021 09:02,52.35928953,4.952608673,16.8,3.7,16.43,11.6,1.018,13.19,,,,,
T,13/04/2021 09:03,52.35936974,4.952587299,16.4,3,20.27,350.8,1.027,9.04,,,,,
T,13/04/2021 09:03,52.3594544,4.952617977,17,2.9,20.73,12.5,1.037,9.65,,,,,
T,13/04/2021 09:03,52.35952539,4.952724427,17,3.5,17.1,42.5,1.047,10.72,,,,,
T,13/04/2021 09:03,52.3595186,4.952698024,17.2,1.2,51.26,247.2,1.049,1.95,,,,,
T,13/04/2021 09:03,52.35950084,4.952647816,17.2,1.6,37.97,239.9,1.053,3.95,,,,,
