type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),color,name,desc,found,distance
T,12/04/2021 13:55,52.35901686,4.95242578,-0.5,0.4,134.47,328.6,0.645,1.12,,,,1,645
T,12/04/2021 13:57,52.35975757,4.952182202,0.1,0.1,567.21,334.1,0.744,0.35,,,,2,99
T,12/04/2021 14:02,52.36161819,4.949978935,0.7,0.8,71.3,4,1.073,1.87,,,,3,329
T,12/04/2021 14:03,52.36167921,4.949890673,0,0.3,189.39,321.4,1.082,0.97,,,,4,9
T,12/04/2021 14:04,52.3617865,4.949624212,0,1.6,38.58,247.2,1.106,3.89,,,,5,24
T,12/04/2021 14:04,52.36177837,4.949463951,0,0.2,257.13,259.6,1.119,0.78,,,,6,13
T,12/04/2021 14:06,52.36197065,4.949235208,-0.1,4.4,13.52,348,1.167,11.09,,,,7,48
T,12/04/2021 14:07,52.36200107,4.949110402,-0.2,2.8,21.37,302.6,1.178,7.02,,,,8,11
T,12/04/2021 14:08,52.361787,4.948826339,-1.2,0.7,82.2,174.4,1.236,2.23,,,,9,58
T,12/04/2021 14:11,52.36122206,4.948213454,-0.8,0.9,64.61,224.4,1.32,4.64,,,,10,84
T,12/04/2021 14:14,52.36033324,4.948051684,-0.8,0.5,115.05,240.8,1.424,2.61,,,,11,104
T,12/04/2021 14:15,52.36000668,4.948025364,-0.5,0.9,66.39,193.6,1.466,3.26,,,,12,42
T,12/04/2021 14:16,52.3599113,4.948002063,-0.5,0.2,369.63,11.5,1.482,0.86,,,,13,16
T,12/04/2021 14:17,52.35984458,4.947878178,-0.3,0.5,112.9,225.9,1.494,2.51,,,,14,12
T,12/04/2021 14:18,52.35982253,4.947878933,0.2,0.2,297.81,180.6,1.498,0.56,,,,15,4
T,12/04/2021 14:20,52.3595813,4.948018407,0.1,0.8,72.55,232,1.541,1.84,,,,16,43
T,12/04/2021 14:20,52.35956864,4.948013797,-0.3,0.6,92.4,192.5,1.542,1.44,,,,17,1
T,12/04/2021 14:32,52.35959413,4.951913646,1.5,0.8,72.1,116.1,2.165,1.85,,,,18,623
T,12/04/2021 14:33,52.35955104,4.952375404,2,2.5,23.86,108,2.198,5.59,,,,19,33
T,12/04/2021 14:35,52.35923203,4.952596268,0.5,0.7,88.63,154.9,2.247,0.75,,,,20,49
T,"Monday, 12 April 2021",52.35828948,4.952101735,0.1,0.2,380.23,222.8,0.544,0.39,Blue,Monday Afternoon A,,,
T,12/04/2021 13:53,52.3582925,4.952093773,0,0.2,339.61,301.8,0.544,0.64,,,,,
T,12/04/2021 13:53,52.35829074,4.952062005,-0.5,0.6,107.37,264.8,0.547,2.17,,,,,
T,12/04/2021 13:53,52.35829451,4.952065442,-0.3,0.1,554.87,29.1,0.547,0.48,,,,,
T,12/04/2021 13:53,52.35829996,4.95206167,-0.7,0.2,303.74,337.1,0.548,0.66,,,,,
T,12/04/2021 13:53,52.35831689,4.952045996,-0.1,2.6,23.09,330.5,0.55,2.17,,,,,
T,12/04/2021 13:54,52.35838093,4.951926805,-0.4,3.5,16.97,311.3,0.561,10.8,,,,,
T,12/04/2021 13:54,52.35843566,4.951879112,-0.2,3.1,19.32,332,0.568,6.9,,,,,
T,12/04/2021 13:54,52.35848059,4.951918507,-0.6,3.4,17.62,28.2,0.573,5.67,,,,,
T,12/04/2021 13:54,52.35849861,4.951946251,-0.2,3.3,18.14,43.2,0.576,2.76,,,,,
T,12/04/2021 13:54,52.3585769,4.952059658,-0.1,4.2,14.31,41.5,0.588,11.64,,,,,
T,12/04/2021 13:54,52.35864588,4.952179771,-1.2,4.5,13.37,46.8,0.599,11.22,,,,,
T,12/04/2021 13:54,52.35870933,4.95226535,-0.6,4.1,14.56,39.5,0.608,9.16,,,,,
T,12/04/2021 13:54,52.35878184,4.952357383,-0.4,4.1,14.68,37.8,0.618,10.22,,,,,
T,12/04/2021 13:55,52.35880857,4.952371381,-0.6,3.7,16,17.7,0.621,3.12,,,,,
T,12/04/2021 13:55,52.35891016,4.952434413,-0.1,4.8,12.4,20.8,0.633,12.09,,,,,
T,12/04/2021 13:55,52.35900831,4.952434329,-0.8,4.4,13.73,360,0.644,10.92,,,,,
T,12/04/2021 13:55,52.35901544,4.952437179,-0.7,0.2,336.43,101.6,0.646,0.79,,,,,
T,12/04/2021 13:55,52.35901292,4.952456793,-0.9,1.6,36.62,101.9,0.648,1.37,,,,,
T,12/04/2021 13:55,52.3590628,4.952541199,-0.5,3.6,16.68,45.9,0.656,7.99,,,,,
T,12/04/2021 13:56,52.35911401,4.952580845,0,3.8,15.86,25.3,0.662,6.31,,,,,
T,12/04/2021 13:56,52.35919674,4.952595178,-0.4,4.2,14.4,6,0.671,9.26,,,,,
T,12/04/2021 13:56,52.35927662,4.95260071,-0.2,4.6,13.11,2.4,0.68,8.9,,,,,
T,12/04/2021 13:56,52.35937351,4.952594675,-0.2,4.9,12.36,357.8,0.691,10.79,,,,,
T,12/04/2021 13:56,52.35948994,4.952526782,0.1,5,12.12,340.4,0.705,13.76,,,,,
T,12/04/2021 13:56,52.35957158,4.952456374,0,4.6,12.98,332.2,0.715,10.27,,,,,
T,12/04/2021 13:56,52.35965012,4.952357886,0.6,4,15.13,322.6,0.726,11.02,,,,,
T,12/04/2021 13:56,52.35967015,4.952326789,0.5,5.5,10.84,316.5,0.729,3.08,,,,,
T,12/04/2021 13:57,52.35974592,4.952244982,1,5.2,11.54,326.6,0.739,10.11,,,,,
T,12/04/2021 13:57,52.35975472,4.952184465,-0.6,3.1,19.67,283.4,0.743,4.24,,,,,
T,12/04/2021 13:57,52.35976386,4.95219117,-0.1,0.4,143.56,41.1,0.745,0.93,,,,,
T,12/04/2021 13:57,52.35980803,4.952137778,-1,2.8,21.8,323.6,0.751,6.11,,,,,
T,12/04/2021 13:57,52.35981725,4.952135515,-0.5,3.7,16.06,351.5,0.752,1.04,,,,,
T,12/04/2021 13:57,52.35982639,4.952129144,0.3,4,15.08,336.9,0.753,1.11,,,,,
T,12/04/2021 13:57,52.35991406,4.952023784,0.5,4.8,12.38,323.7,0.765,12.11,,,,,
T,12/04/2021 13:57,52.35992119,4.95200769,0,4.9,12.32,305.9,0.766,1.35,,,,,
T,12/04/2021 13:57,52.36000207,4.951907862,0.1,4.5,13.3,323,0.778,11.28,,,,,
T,12/04/2021 13:58,52.36011204,4.951797305,0.5,4.7,12.76,328.5,0.792,14.37,,,,,
T,12/04/2021 13:58,52.36008304,4.951645425,0.9,4.9,12.3,252.6,0.803,10.84,,,,,
T,12/04/2021 13:58,52.36008883,4.951531263,0.5,3.5,17.09,274.7,0.811,7.8,,,,,
T,12/04/2021 13:58,52.36012269,4.951525815,1,4.5,13.21,354.4,0.814,3.79,,,,,
T,12/04/2021 13:58,52.36025864,4.951557498,0.5,4.6,13.09,8.1,0.83,15.28,,,,,
T,12/04/2021 13:58,52.36042268,4.951431854,-0.3,5.6,10.75,334.9,0.85,20.16,,,,,
T,12/04/2021 13:59,52.36058554,4.951334791,0.8,5,12.1,340,0.869,19.29,,,,,
T,12/04/2021 13:59,52.36069333,4.951364212,0.9,4.4,13.71,9.5,0.881,12.16,,,,,
T,12/04/2021 13:59,52.36077581,4.951356165,0.5,3.7,16.31,356.6,0.891,9.19,,,,,
T,12/04/2021 13:59,52.36086499,4.951355411,0.3,4,15.11,359.7,0.9,9.92,,,,,
T,12/04/2021 13:59,52.36093481,4.951373851,0,3.5,16.94,9.2,0.908,7.87,,,,,
T,12/04/2021 13:59,52.36099776,4.951357255,0.6,2.8,21.14,350.9,0.915,7.1,,,,,
T,12/04/2021 13:59,52.36101746,4.951350382,0.2,4,14.87,348,0.918,2.24,,,,,
T,12/04/2021 13:59,52.36104034,4.951344514,0.4,4.6,12.93,351.1,0.92,2.58,,,,,
T,12/04/2021 14:00,52.36112005,4.951357003,0.4,3.2,18.7,5.5,0.929,8.91,,,,,
T,12/04/2021 14:00,52.36117403,4.951362451,0.2,3.1,19.39,3.5,0.935,6.02,,,,,
T,12/04/2021 14:00,52.36121921,4.951348286,0.8,4.6,13.02,349.2,0.94,5.12,,,,,
T,12/04/2021 14:00,52.36130152,4.951288775,0.8,4,14.98,336.2,0.95,10.02,,,,,
T,12/04/2021 14:00,52.36130931,4.951281147,0.5,3.6,16.48,329.1,0.951,1.01,,,,,
T,12/04/2021 14:00,52.36137084,4.951210236,0.1,3.8,15.91,324.9,0.96,8.38,,,,,
T,12/04/2021 14:00,52.3613845,4.951182073,0.6,4.4,13.62,308.5,0.962,2.45,,,,,
T,12/04/2021 14:00,52.36140118,4.951120047,0.2,4.2,14.45,293.8,0.967,4.62,,,,,
T,12/04/2021 14:00,52.36135298,4.951043604,0.2,3,20.07,224.1,0.974,7.48,,,,,
T,12/04/2021 14:00,52.36132474,4.951003287,0,1.4,43.92,221.1,0.978,4.17,,,,,
T,12/04/2021 14:01,52.36132306,4.950993983,0.3,0.3,201.81,253.6,0.979,0.66,,,,,
T,12/04/2021 14:01,52.36135416,4.951025667,0,2.9,20.43,31.9,0.983,4.08,,,,,
T,12/04/2021 14:01,52.36138442,4.951047711,0.2,4.4,13.56,24,0.987,3.69,,,,,
T,12/04/2021 14:01,52.36142691,4.951047543,0.4,3.4,17.62,359.9,0.992,4.73,,,,,
T,12/04/2021 14:01,52.3614451,4.95090832,0,3.9,15.47,282.1,1.001,9.7,,,,,
T,12/04/2021 14:01,52.36145608,4.950787621,0.3,3,20.05,278.5,1.01,8.31,,,,,
T,12/04/2021 14:01,52.36145784,4.950663149,0,3.4,17.69,271.3,1.018,8.48,,,,,
T,12/04/2021 14:01,52.36144334,4.950655941,-0.5,0.9,69.17,196.9,1.02,1.69,,,,,
T,12/04/2021 14:01,52.36146111,4.950590562,0.7,3.5,17.1,294,1.025,4.87,,,,,
T,12/04/2021 14:02,52.36146974,4.95055561,0.2,4.6,12.98,292,1.027,2.57,,,,,
T,12/04/2021 14:02,52.36149665,4.950400461,1,4.4,13.65,285.9,1.038,10.99,,,,,
T,12/04/2021 14:02,52.36153822,4.950270541,0,4.5,13.35,297.7,1.048,9.99,,,,,
T,12/04/2021 14:02,52.36160092,4.950137269,0.1,5.2,11.64,307.6,1.06,11.45,,,,,
T,12/04/2021 14:02,52.3616145,4.950065855,-0.3,4.6,13.09,287.3,1.065,5.09,,,,,
T,12/04/2021 14:02,52.36160142,4.949977007,-0.3,2.8,21.42,256.5,1.071,6.23,,,,,
T,12/04/2021 14:02,52.36162925,4.949944736,0.4,0.7,82.23,297.9,1.075,2.63,,,,,
T,12/04/2021 14:03,52.36167242,4.949899558,-0.5,2.6,23.37,327.4,1.081,5.7,,,,,
T,12/04/2021 14:03,52.36168256,4.949893607,0.2,0.1,551.31,28.1,1.082,0.42,,,,,
T,12/04/2021 14:03,52.36169639,4.949849267,0.2,0.9,63.91,297.1,1.086,3.39,,,,,
T,12/04/2021 14:03,52.36174559,4.949766369,0.2,4.7,12.71,314.2,1.094,7.87,,,,,
T,12/04/2021 14:03,52.36176688,4.949713312,0.3,3.9,15.43,303.3,1.098,4.32,,,,,
T,12/04/2021 14:04,52.36179999,4.949676851,0.1,2,30.01,326.1,1.103,4.44,,,,,
T,12/04/2021 14:04,52.3617787,4.94959211,0.4,4.2,14.17,248.3,1.109,2.35,,,,,
T,12/04/2021 14:04,52.36176638,4.949486917,0.1,2.6,22.84,259.1,1.116,7.3,,,,,
T,12/04/2021 14:04,52.36177962,4.949475182,0,0.6,99.41,331.6,1.118,1.68,,,,,
T,12/04/2021 14:04,52.3617761,4.949465208,-0.2,0.1,626.59,161.3,1.119,0.27,,,,,
T,12/04/2021 14:05,52.36176646,4.949460849,0.1,0.3,239.61,195.4,1.12,1.11,,,,,
T,12/04/2021 14:05,52.36175741,4.949448863,0.1,0.5,128.53,219,1.121,1.3,,,,,
T,12/04/2021 14:05,52.36175817,4.949444504,0.6,0.1,486.14,285.8,1.121,0.31,,,,,
T,12/04/2021 14:05,52.36176227,4.949450707,0.2,0.3,187.44,42.7,1.122,0.62,,,,,
T,12/04/2021 14:05,52.36173344,4.949450707,-0.1,1.2,51.95,180,1.125,3.21,,,,,
T,12/04/2021 14:05,52.36172447,4.949389519,0.1,1.5,38.89,256.5,1.13,4.29,,,,,
T,12/04/2021 14:06,52.36172531,4.949421706,-0.1,0.9,68.35,87.6,1.132,2.19,,,,,
T,12/04/2021 14:06,52.36175314,4.949434865,-0.1,1.3,46.53,16.1,1.135,3.22,,,,,
T,12/04/2021 14:06,52.36177677,4.949462945,-0.4,3.9,15.37,36,1.138,3.25,,,,,
T,12/04/2021 14:06,52.36181466,4.949437547,-1,3.3,18.29,337.7,1.143,4.56,,,,,
T,12/04/2021 14:06,52.36182589,4.949385412,0.1,4.5,13.28,289.4,1.147,3.77,,,,,
T,12/04/2021 14:06,52.36187317,4.949269155,-1.4,4.3,14.02,303.7,1.156,9.51,,,,,
T,12/04/2021 14:06,52.36197702,4.949234202,-0.8,0.4,163.82,354.5,1.168,0.71,,,,,
T,12/04/2021 14:06,52.36196713,4.949197238,-0.4,1.2,48.52,246.3,1.171,2.75,,,,,
T,12/04/2021 14:07,52.3619973,4.949125573,-0.9,0.5,119.53,112.2,1.179,1.12,,,,,
T,12/04/2021 14:07,52.361988,4.949132195,-1.2,0.5,132.83,156.5,1.18,1.13,,,,,
T,12/04/2021 14:07,52.3619657,4.949102104,-1.3,3.9,15.54,219.5,1.183,3.22,,,,,
T,12/04/2021 14:07,52.36198406,4.948957264,-0.8,4,14.89,281.7,1.193,10.08,,,,,
T,12/04/2021 14:07,52.36203661,4.948876211,-1.3,3.6,16.58,316.7,1.201,8.04,,,,,
T,12/04/2021 14:07,52.36203343,4.948852658,-0.8,2,30.43,257.5,1.203,1.64,,,,,
T,12/04/2021 14:07,52.36199118,4.948838996,-0.5,2.9,20.87,191.2,1.208,4.79,,,,,
T,12/04/2021 14:08,52.36196268,4.948854502,-0.7,1.5,39.89,161.6,1.211,3.34,,,,,
T,12/04/2021 14:08,52.36192379,4.9488742,-0.7,3.3,18.39,162.8,1.216,4.53,,,,,
T,12/04/2021 14:08,52.36190409,4.948879983,-0.4,4,14.97,169.8,1.218,2.23,,,,,
T,12/04/2021 14:08,52.36187023,4.948890209,-0.3,2,30.45,169.6,1.222,3.83,,,,,
T,12/04/2021 14:08,52.3618036,4.948890796,-1,3.3,17.98,179.7,1.229,7.41,,,,,
T,12/04/2021 14:08,52.36180695,4.948823154,-1.1,2.1,28.84,274.6,1.234,4.62,,,,,
T,12/04/2021 14:08,52.3617849,4.948813934,-0.5,0.4,152.09,254.5,1.237,0.88,,,,,
T,12/04/2021 14:08,52.36177828,4.948828518,-0.4,0.6,107.79,126.6,1.238,1.24,,,,,
T,12/04/2021 14:08,52.36177744,4.948818879,0,2.4,25.13,261.9,1.239,0.66,,,,,
T,12/04/2021 14:09,52.36174685,4.948717374,-0.9,3.1,19.46,243.7,1.246,7.71,,,,,
T,12/04/2021 14:09,52.36174056,4.948657108,-0.5,1.5,40.02,260.3,1.251,4.16,,,,,
T,12/04/2021 14:09,52.36170318,4.948578402,-0.4,2.4,24.56,232.1,1.257,6.79,,,,,
T,12/04/2021 14:09,52.36164987,4.948513778,-1.2,3.3,18.05,216.5,1.265,7.39,,,,,
T,12/04/2021 14:09,52.36159103,4.948539091,-1.8,3,19.69,165.3,1.271,6.77,,,,,
T,12/04/2021 14:09,52.36158298,4.948525932,-0.7,0.5,118.39,225,1.273,1.27,,,,,
T,12/04/2021 14:10,52.36158164,4.948500786,-0.9,0.7,87.23,265,1.274,1.72,,,,,
