type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),color,name,found,x
T,"Monday, 12 April 2021",52.35810768,4.952816376,-8.9,,,,0,,Blue,Monday Morning A,,
T,12/04/2021 09:47,52.35814322,4.95248395,-8.8,4.9,12.32,279.9,0.023,22.99,,,,
T,12/04/2021 09:47,52.35814615,4.952286556,-8.8,4.8,12.39,271.4,0.036,13.45,,,,
T,12/04/2021 09:47,52.358148,4.95224339,-9.2,5.3,11.31,274,0.039,2.95,,,,
T,12/04/2021 09:47,52.35819217,4.952168455,-9.5,2.6,23.52,314,0.046,7.09,,,,
T,12/04/2021 09:47,52.35819485,4.952175999,-9.4,0.2,392.6,59.8,0.047,0.59,,,,
T,12/04/2021 09:48,52.35819594,4.952163426,-9.2,0.2,288.98,278.1,0.048,0.87,,,,
T,12/04/2021 09:48,52.35820164,4.952158481,-9,0.9,69.62,332.1,0.049,0.72,,,,
T,12/04/2021 09:48,52.35830608,4.952128138,-9.6,4.7,12.71,349.9,0.06,11.8,,,,
T,12/04/2021 09:48,52.35832385,4.952111458,-9.8,4.1,14.62,330.2,0.063,2.28,,,,
T,12/04/2021 09:48,52.35839048,4.952022945,-9.3,3.8,15.69,321,0.072,9.56,,,,
T,12/04/2021 09:48,52.35844631,4.951883974,-9.7,4.1,14.72,303.3,0.084,11.32,,,,
T,12/04/2021 09:48,52.35847179,4.951822702,-10.1,2.3,26.42,304.3,0.089,5.05,,,,
T,12/04/2021 09:48,52.35848855,4.951806106,-9.9,1,61.13,328.8,0.091,2.18,,,,
T,12/04/2021 09:48,52.35851982,4.95184659,-10.5,5.3,11.26,38.3,0.095,4.44,,,,
T,12/04/2021 09:49,52.35856483,4.951920183,-10.9,3.2,18.81,45,0.102,7.09,,,,
T,12/04/2021 09:49,52.35859131,4.952006433,-10.3,3.4,17.75,63.3,0.109,6.57,,,,
T,12/04/2021 09:49,52.35864362,4.952137358,-10,3.8,15.65,56.8,0.12,10.65,,,,
T,12/04/2021 09:49,52.35868553,4.952206342,-10.3,2.6,22.66,45.2,0.126,6.62,,,,
